term,estimate,std.error,statistic,p.value,model
soysmallgrain_planted,0.04208917411835067,0.03328447197624152,1.2645288213793493,0.20613798960543675,cp_twoways_var7crops
corn_planted,0.008831224171622467,0.052529534490952906,0.168119216307608,0.8665007644470037,cp_twoways_var7crops
fruitveg_planted,0.46006865377119494,0.11872705417630074,3.8750111081508654,1.0888880352105276e-4,cp_twoways_var7crops
pland_crops,0.006226511080212306,0.00216336460378114,2.878160745225089,0.004028147525150849,cp_individual_var7crops
cropintensity,2.093503183520421e-7,3.100537525633286e-7,0.6752065299041405,0.49959631841798113,cp_individual_var7crops
msidi,0.07793608088377171,0.1101673505854561,0.707433558759473,0.4793517468434184,cp_individual_var7crops
mna_crops,3.5226850120341565e-5,4.0352619839642377e-4,0.0872975540629824,0.9304407934628465,cp_individual_var7crops
largefarm_planted,0.26139817989223824,0.034201310577271146,7.642928749810928,2.8342029718322272e-14,cp_individual_var7crops
te_shared_c_nc,-3.2490584085440434e-4,1.5594031454211927e-4,-2.0835269045622433,0.03728723028211733,cp_individual_var7crops
SDI,0.02196672910854769,0.01642356945668034,1.3375124796402071,0.18115626366579426,cp_individual_var7crops
soysmallgrain_planted,0.06272534234571255,0.03381582699854927,1.8549107892113217,0.06370649094088156,cp_individual_var7crops
corn_planted,-0.07461440171516391,0.04822441081512409,-1.5472330393254576,0.12191197907243055,cp_individual_var7crops
fruitveg_planted,0.4119071954226533,0.11402402896276262,3.6124595768947247,3.0825506254905606e-4,cp_individual_var7crops
pland_crops,0.0015812585624031242,2.590684254104256e-4,6.103632891187095,1.1692416506301438e-9,cp_time_var7crops
cropintensity,5.41437599239391e-8,1.3333275322463036e-7,0.40607996620846204,0.6847126537941193,cp_time_var7crops
msidi,0.18709048391364677,0.02239090684700288,8.355645673131352,9.798705288008851e-17,cp_time_var7crops
mna_crops,-5.422746234818412e-4,7.989480787084835e-5,-6.7873575008583735,1.369560328182026e-11,cp_time_var7crops
largefarm_planted,0.36988111335592905,0.01903138627003674,19.4353216369884,2.283323806103162e-79,cp_time_var7crops
te_shared_c_nc,-0.0013202615617671064,2.1223417583873e-4,-6.22077738681602,5.630306647943839e-10,cp_time_var7crops
SDI,0.07631746030425735,0.014502148538758166,5.262493354022182,1.5206804756315025e-7,cp_time_var7crops
soysmallgrain_planted,-0.16798233965871148,0.024443106138746666,-6.872381059313474,7.640358802666915e-12,cp_time_var7crops
corn_planted,0.02961937081481338,0.02264840908382406,1.307790348769712,0.19104410188670393,cp_time_var7crops
fruitveg_planted,0.6710933284275489,0.02976439564515909,22.54684880647648,3.6909614692272465e-104,cp_time_var7crops
pland_crops,8.305090397658971e-4,0.001379676807631572,0.601959122000169,0.5472464910963319,cp_twoways_var6crops
cropintensity,2.5716755455020744e-7,3.7228025416794796e-7,0.6907902089112431,0.48975042622752774,cp_twoways_var6crops
msidi,-0.35876612872531416,0.09441484138588543,-3.7998912401811014,1.476126819537128e-4,cp_twoways_var6crops
mna_crops,-7.214449619384627e-4,2.62483937593477e-4,-2.748529942642827,0.006021872317044701,cp_twoways_var6crops
largefarm_planted,0.23170222744844782,0.025537556807215114,9.07299900290325,2.0347334695452243e-19,cp_twoways_var6crops
te_shared_c_nc,1.936947807674417e-4,1.94752567237817e-4,0.994568562122811,0.32002574476749096,cp_twoways_var6crops
soysmallgrain_planted,-0.04409100686002272,0.025822445207789327,-1.7074683092646352,0.08783772429985268,cp_twoways_var6crops
corn_planted,0.19271176099006532,0.04225554709084062,4.560626338023153,5.302868005799193e-6,cp_twoways_var6crops
fruitveg_planted,0.2678283256833699,0.08749598109176515,3.0610357452015253,0.002225112775922949,cp_twoways_var6crops
pland_crops,0.0071892718461660015,0.00200640511538813,3.583160644392231,3.448204910357342e-4,cp_individual_var6crops
cropintensity,1.0761102945830307e-7,2.886761126723257e-7,0.3727742779342869,0.7093425821859649,cp_individual_var6crops
msidi,0.05654287137156567,0.09305326334238732,0.60763985421465,0.5434720036853715,cp_individual_var6crops
mna_crops,1.333184010377393e-4,2.9659096444193653e-4,0.4495025709518504,0.6531013794834319,cp_individual_var6crops
largefarm_planted,0.297856957628278,0.02498343812576409,11.922176448609529,4.6906484367571573e-32,cp_individual_var6crops
te_shared_c_nc,-7.2535943143376525e-6,1.1720856931115454e-4,-0.061886211536986487,0.9506575392076569,cp_individual_var6crops
soysmallgrain_planted,-0.04029748515550721,0.026826115300498866,-1.5021737103604347,0.13315669798584354,cp_individual_var6crops
corn_planted,0.290095495577078,0.040579875621430436,7.148752704009696,1.0932543408953778e-12,cp_individual_var6crops
fruitveg_planted,0.24841043241555125,0.08421187179303508,2.9498267539529572,0.0032039242963765244,cp_individual_var6crops
pland_crops,0.0012503580540870218,2.497724494050136e-4,5.005988679157838,5.876033887088741e-7,cp_time_var6crops
cropintensity,-2.289203494763043e-7,9.669238792780867e-8,-2.3675115940586564,0.01797078148537507,cp_time_var6crops
msidi,0.20246215791022013,0.020216847194408236,10.014526793585253,3.01808170466206e-23,cp_time_var6crops
mna_crops,-4.647644582639129e-4,7.49486736681027e-5,-6.201103175248202,6.369392419592205e-10,cp_time_var6crops
largefarm_planted,0.3934159780974123,0.017825724447489304,22.07012563536085,3.336499291833973e-100,cp_time_var6crops
te_shared_c_nc,-9.646204347748383e-4,3.131264734362335e-4,-3.080609646923635,0.002084358218624859,cp_time_var6crops
soysmallgrain_planted,-0.20336056748456038,0.02334907036542755,-8.709578767027567,4.930976336068769e-18,cp_time_var6crops
corn_planted,0.03143040509286512,0.021679341032212418,1.4497859988531943,0.14722193915134954,cp_time_var6crops
fruitveg_planted,0.6794049892489588,0.028663576495644716,23.702729118684505,4.6593047989548555e-114,cp_time_var6crops
pland_crops,0.0028296989927659214,0.001496491348825807,1.8908889750590205,0.05873489449652864,cp_twoways_var6crops_3yrs
cropintensity,2.330035309628886e-7,3.392773010077975e-7,0.6867642788679623,0.4922840636664362,cp_twoways_var6crops_3yrs
msidi,-0.015195464934140685,0.10250758117935382,-0.14823747433425172,0.8821652645941103,cp_twoways_var6crops_3yrs
mna_crops,-5.606901046230765e-4,3.6460141246938524e-4,-1.5378166003955247,0.12419832745990511,cp_twoways_var6crops_3yrs
largefarm_planted,0.2366723044980817,0.03549099834882758,6.668516398775804,3.0613730013422556e-11,cp_twoways_var6crops_3yrs
te_shared_c_nc,-9.291897061792606e-5,1.6959267830748937e-4,-0.54789494184091,0.5838045743584747,cp_twoways_var6crops_3yrs
soysmallgrain_planted,0.042401246898342765,0.033281175817469276,1.2740309155810043,0.20275059104042673,cp_twoways_var6crops_3yrs
corn_planted,0.010704991054091674,0.052371679602036626,0.204404195844721,0.8380514389143039,cp_twoways_var6crops_3yrs
fruitveg_planted,0.46051846088022663,0.118912092944932,3.8727639004175294,1.0989224417451336e-4,cp_twoways_var6crops_3yrs
pland_crops,0.00622209975631326,0.0021598555536944766,2.8807943872312354,0.003994727713431102,cp_individual_var6crops_3yrs
cropintensity,2.132049438759535e-7,3.0220496421734087e-7,0.7054978214144093,0.48055495325912045,cp_individual_var6crops_3yrs
msidi,0.08145546818828713,0.11011518758018773,0.7397296410994159,0.4595216123661755,cp_individual_var6crops_3yrs
mna_crops,5.138686618967247e-5,4.0511616258593605e-4,0.12684476931668193,0.8990717138407615,cp_individual_var6crops_3yrs
largefarm_planted,0.26228712156670597,0.03418723836157009,7.672076895849628,2.268470037340741e-14,cp_individual_var6crops_3yrs
te_shared_c_nc,-2.9041721542406927e-4,1.5649497016626291e-4,-1.8557607002673957,0.06358512630112945,cp_individual_var6crops_3yrs
soysmallgrain_planted,0.06324610270917222,0.03382465998539531,1.8698222757148306,0.06160528196746896,cp_individual_var6crops_3yrs
corn_planted,-0.07209263081120575,0.04812322738163321,-1.498083872045555,0.13421607561873422,cp_individual_var6crops_3yrs
fruitveg_planted,0.412238753936328,0.11435974185886684,3.604754148930122,3.1750385791184965e-4,cp_individual_var6crops_3yrs
pland_crops,0.0014825160789774428,2.558516153562046e-4,5.79443704865196,7.562350157202775e-9,cp_time_var6crops_3yrs
cropintensity,-1.6305296476994218e-7,1.0681540600538919e-7,-1.5264929551615019,0.12699196465126728,cp_time_var6crops_3yrs
msidi,0.20720445280565716,0.021855388721567007,9.48070315497005,4.941153235795174e-21,cp_time_var6crops_3yrs
mna_crops,-5.161117228853058e-4,7.772204688615301e-5,-6.640480321385572,3.694005161790781e-11,cp_time_var6crops_3yrs
largefarm_planted,0.3847644306371444,0.018967281085773585,20.28569244569993,7.151378555006359e-86,cp_time_var6crops_3yrs
te_shared_c_nc,-0.001027987908339968,2.2365182665582079e-4,-4.59637608916982,4.475556865377759e-6,cp_time_var6crops_3yrs
soysmallgrain_planted,-0.1578889068662915,0.024494401533823366,-6.445918127383878,1.3330107901033906e-10,cp_time_var6crops_3yrs
corn_planted,0.029919952435561812,0.022632705694415424,1.3219785932595987,0.18627549996449494,cp_time_var6crops_3yrs
fruitveg_planted,0.6778013225243141,0.03076801424326672,22.029413961047045,7.475775949172081e-100,cp_time_var6crops_3yrs
