FIPS,Year,LCP_Area_ha,CountyArea_ha,CroplandArea_ha,Prop_LCP
01105,2002,8812.5,187462.5,19975,0.441176470588235
01105,2007,7775,187462.5,18993.75,0.409345179335308
01105,2012,5543.75,187462.5,16425,0.33751902587519
01105,2017,4806.25,187462.5,15018.75,0.320016645859342
01107,2002,5793.75,230537.5,17450,0.33202005730659
01107,2007,5425,230537.5,16587.5,0.327053504144687
01107,2012,4881.25,230537.5,14931.25,0.326915027208037
01107,2017,4725,230537.5,14031.25,0.336748329621381
01109,2002,5112.5,174275,23762.5,0.215149921094161
01109,2007,4200,174275,21962.5,0.191235059760956
01109,2012,2593.75,174275,18243.75,0.142171976704351
01109,2017,1825,174275,16381.25,0.111407859595574
01111,2002,0,151300,5481.25,0
01111,2007,0,151300,5350,0
01111,2012,0,151300,4937.5,0
01111,2017,0,151300,4743.75,0
01113,2002,5962.5,167637.5,14650,0.406996587030717
01113,2007,5062.5,167637.5,14356.25,0.352633870265564
01113,2012,3656.25,167637.5,12718.75,0.287469287469287
01113,2017,2887.5,167637.5,11812.5,0.244444444444444
01115,2002,0,169193.75,5850,0
01115,2007,0,169193.75,5825,0
01115,2012,0,169193.75,5681.25,0
01115,2017,0,169193.75,5643.75,0
01117,2002,1593.75,209625,8443.75,0.188749074759437
01117,2007,1593.75,209625,8393.75,0.189873417721519
01117,2012,1593.75,209625,8262.5,0.192889561270802
01117,2017,1593.75,209625,8181.25,0.194805194805195
01119,2002,4937.5,236581.25,21756.25,0.226946279804654
01119,2007,3831.25,236581.25,20600,0.185983009708738
01119,2012,912.5,236581.25,16812.5,0.054275092936803
01119,2017,468.75,236581.25,14693.75,0.031901318587835
01121,2002,1837.5,196943.75,15375,0.119512195121951
01121,2007,1837.5,196943.75,15312.5,0.12
01121,2012,1837.5,196943.75,15162.5,0.12118713932399
01121,2017,1837.5,196943.75,15125,0.121487603305785
01123,2002,0,198456.25,5031.25,0
01123,2007,0,198456.25,4968.75,0
01123,2012,0,198456.25,4581.25,0
01123,2017,0,198456.25,4331.25,0
01125,2002,0,349943.75,13431.25,0
01125,2007,0,349943.75,12575,0
01125,2012,0,349943.75,10837.5,0
01125,2017,0,349943.75,9881.25,0
01127,2002,0,208537.5,8175,0
01127,2007,0,208537.5,8150,0
01127,2012,0,208537.5,7962.5,0
01127,2017,0,208537.5,7856.25,0
01129,2002,0,281968.75,5431.25,0
01129,2007,0,281968.75,4725,0
01129,2012,0,281968.75,3475,0
01129,2017,0,281968.75,2843.75,0
01131,2002,1081.25,235037.5,10381.25,0.104154124021674
01131,2007,1043.75,235037.5,9581.25,0.108936725375082
