FIPS,Year,Scenario,CroplandArea,SoySmallGrain,Corn,FruitVeg,soysmallgrain_cropland,corn_cropland,fruitveg_cropland
1035,2050,B1,7397.5562500000005,0,0,0,0,0,0
1035,2050,B2,3382.18125,0,0,0,0,0,0
1035,2050,A1B,30532.29375,0,0,0,0,0,0
1035,2050,A2,67643.625,0,0,0,0,0,0
1039,2050,B1,26625.025,0,1439.9499999999998,299.89999999999986,0,0.054082578326217524,0.011263839188883386
1039,2050,B2,17266.1125,0,1439.9499999999998,299.89999999999986,0,0.08339746425259305,0.0173692833288327
1039,2050,A1B,64076.11875,0,1439.9499999999998,299.89999999999986,0,0.02247249096996843,0.004680370875303677
1039,2050,A2,89203.1,0,1439.9499999999998,299.89999999999986,0,0.016142376217866863,0.0033619907828315366
1041,2050,B1,10563.525,0,0,0,0,0,0
1041,2050,B2,6069.39375,0,0,0,0,0,0
1041,2050,A1B,37358.43125,0,0,0,0,0,0
1041,2050,A2,41976.1125,0,0,0,0,0,0
1043,2050,B1,45296.51875,9039,6579,1524.2,0.199551759151469,0.1452429498238206,0.03364938503138279
1043,2050,B2,41667.2375,9039,6579,1524.2,0.21693302801751616,0.1578938368544351,0.036580298849905754
1043,2050,A1B,60879.262500000004,9039,6579,1524.2,0.14847420334633651,0.10806635510737338,0.025036439953588466
1043,2050,A2,77527.625,9039,6579,1524.2,0.11659069912176466,0.08486007407037169,0.01966008890379397
1045,2050,B1,24076.80625,1408.75,0,317.95,0.05851066729417237,0,0.013205655131273898
1045,2050,B2,16246.825,1408.75,0,317.95,0.08670924934564138,0,0.019569977518684417
1045,2050,A1B,49620.76875,1408.75,0,317.95,0.028390330006727273,0,0.006407599237365704
1045,2050,A2,53033.8375,1408.75,0,317.95,0.026563229560749774,0,0.005995228989416426
1047,2050,B1,50130.4125,0,20157.55,716.25,0,0.40210221689278935,0.014287734017748209
1047,2050,B2,38022.512500000004,0,20157.55,716.25,0,0.530147764432979,0.0188375242167387
1047,2050,A1B,92508.0625,0,20157.55,716.25,0,0.21790046678363845,0.007742568384242184
1047,2050,A2,93666.34375,0,20157.55,716.25,0,0.21520590206661078,0.007646823515517013
1049,2050,B1,57543.4125,12957.45,8671.3,1072.45,0.22517694792605497,0.15069144535006504,0.018637233236732356
1049,2050,B2,49219.231250000004,12957.45,8671.3,1072.45,0.2632599020936557,0.17617707103054353,0.021789247267042594
1049,2050,A1B,78469.69375,12957.45,8671.3,1072.45,0.16512680731597731,0.11050508273456845,0.013667059838627189
1049,2050,A2,90191.5,12957.45,8671.3,1072.45,0.14366597739254808,0.09614320639971616,0.01189081010960013
1051,2050,B1,22918.525,1541.1,3773.45,0,0.06724254724071466,0.16464628504670348,0
1051,2050,B2,15690.85,1541.1,3773.45,0,0.0982164764815163,0.2404872903634921,0
1051,2050,A1B,42949.06875,1541.1,3773.45,0,0.03588203527695813,0.08785871521370298,0
1051,2050,A2,42810.075000000004,1541.1,3773.45,0,0.035998535391493704,0.08814397078257862,0
1053,2050,B1,14239.1375,0,0,0,0,0,0
1053,2050,B2,7922.64375,0,0,0,0,0,0
1053,2050,A1B,47443.200000000004,0,0,0,0,0,0
1053,2050,A2,92199.1875,0,0,0,0,0,0
1055,2050,B1,23937.8125,0,0,305,0,0,0.01274134802417723
1055,2050,B2,22964.85625,0,0,305,0,0,0.013281163037978955
1055,2050,A1B,26995.675,0,0,305,0,0,0.011298106085511846
1055,2050,A2,33574.7125,0,0,305,0,0,0.009084217772527464
1057,2050,B1,7212.23125,0,0,210.60000000000002,0,0,0.029200394815404738
1057,2050,B2,5142.76875,0,0,210.60000000000002,0,0,0.04095070384022226
1057,2050,A1B,19598.11875,0,0,210.60000000000002,0,0,0.010745929376512224
1057,2050,A2,26099.9375,0,0,210.60000000000002,0,0,0.008068984839523084
1059,2050,B1,13466.95,1718,0,0,0.12757157337036226,0,0
1059,2050,B2,12231.45,1718,0,0,0.14045759088252005,0,0
1059,2050,A1B,20910.8375,1718,0,0,0.08215835448962767,0,0
1059,2050,A2,21358.70625,1718,0,0,0.08043558349888351,0,0
1061,2050,B1,53033.8375,0,0,1327.45,0,0,0.025030246019817064
1061,2050,B2,37868.075000000004,0,0,1327.45,0,0,0.03505459414031476
1061,2050,A1B,101187.45,0,0,1327.45,0,0,0.013118721738713646
1061,2050,A2,125495.9125,0,0,1327.45,0,0,0.01057763534728671
1063,2050,B1,26362.48125,0,0,135.15,0,0,0.005126603930728258
1063,2050,B2,18640.60625,0,0,135.15,0,0,0.007250300670880809
1063,2050,A1B,75952.3625,0,0,135.15,0,0,0.0017794048210152777
1063,2050,A2,77512.18125000001,0,0,135.15,0,0,0.0017435969136786482
1065,2050,B1,19042.14375,0,0,71.7,0,0,0.003765332356552555
1065,2050,B2,12262.3375,0,0,71.7,0,0,0.005847172286686776
1065,2050,A1B,64091.5625,0,0,71.7,0,0,0.0011187119989468192
1065,2050,A2,78052.71250000001,0,0,71.7,0,0,9.186099714343687e-4
1067,2050,B1,36416.3625,0,0,529.55,0,0,0.01454154022110253
1067,2050,B2,25049.7625,0,0,529.55,0,0,0.021139920987274827
1067,2050,A1B,75211.0625,0,0,529.55,0,0,0.007040852534160117
1067,2050,A2,75489.05,0,0,529.55,0,0,0.007014924681129249
1069,2050,B1,69589.5375,0,0,10442.9,0,0,0.15006422481253018
1069,2050,B2,52230.762500000004,0,0,10442.9,0,0,0.19993772826885303
1069,2050,A1B,112322.39375,0,0,10442.9,0,0,0.09297255561738774
1069,2050,A2,119179.41875,0,0,10442.9,0,0,0.08762335065508112
1071,2050,B1,80863.475,22735.9,22389.5,0,0.28116402368312765,0.27688026021637085,0
1071,2050,B2,74917.63125,22735.9,22389.5,0,0.3034786287373441,0.2988548840430669,0
1071,2050,A1B,99164.31875,22735.9,22389.5,0,0.22927500825492234,0.22578181630476837,0
1071,2050,A2,114499.96250000001,22735.9,22389.5,0,0.1985668772598943,0.19554154875814914,0
1073,2050,B1,10362.75625,0,43.05,0,0,0.004154300165074325,0
1073,2050,B2,9698.675000000001,0,43.05,0,0,0.004438750654084191,0
1073,2050,A1B,11335.7125,0,43.05,0,0,0.0037977321672545946,0
1073,2050,A2,15103.987500000001,0,43.05,0,0,0.0028502407063035503,0
1077,2050,B1,68477.58750000001,53049.100000000006,29927.050000000003,142.6,0.7746928876546652,0.4370342340112376,0.0020824331756722587
1077,2050,B2,67118.5375,53049.100000000006,29927.050000000003,142.6,0.790379259977171,0.44588352360925626,0.0021245993329339153
