FIPS,Year,SDI
1081,2017,0.6139094160914489
1083,2007,0.7262864733759629
1083,2012,0.7334563409555734
1083,2017,0.6601735447250887
1085,2007,0.25777399135215484
1085,2012,0.4489019296445155
1085,2017,0.5961598355000217
1087,2007,0.6501066991422946
1087,2012,0.769125633770533
1087,2017,0.7330296780228358
1089,2007,0.759934269670965
1089,2012,0.7662801817603891
1089,2017,0.729404535114169
1091,2007,0.49210335061280464
1091,2012,0.7836350633022423
1091,2017,0.764851675170067
1093,2007,0.6460568945508405
1093,2012,0.623360413368345
1093,2017,0.6059773149505496
1095,2007,0.607955239531953
1095,2012,0.6203356808043203
1095,2017,0.7446618123677495
1097,2007,0.7374637372194588
1097,2012,0.7099759641308848
1097,2017,0.7365875019112341
1099,2007,0.7972665606044477
1099,2012,0.7299918905482541
1099,2017,0.7204290690506415
1101,2007,0.29570188303191536
1101,2012,0.5464437165140014
1101,2017,0.5616184008616877
1103,2007,0.7431106212187977
1103,2012,0.7356785785501221
1103,2017,0.6964288088965277
1105,2007,0.586660038614309
1105,2012,0.6638839625995712
1105,2017,0.7547247982486172
1107,2007,0.8040740511132404
1107,2012,0.7995049420497959
1107,2017,0.7142401837603269
1109,2007,0.5671742360688707
1109,2012,0.6389662288861595
1109,2017,0.6393835751843386
1111,2007,0.34398090719253493
1111,2012,0.4181385988323084
1111,2017,0.41644683442937225
1113,2007,0.769985686563109
1113,2012,0.8065461328912125
1113,2017,0.7907219796159287
1115,2007,0.611318002268901
1115,2012,0.5359336193047306
1115,2017,0.671333586578901
1117,2007,0.7055993041839261
1117,2012,0.7126238360234942
1117,2017,0.707888037008162
1119,2007,0.33148893229403287
1119,2012,0.31439296453821786
1119,2017,0.1687461017621198
1121,2007,0.7576916269449376
1121,2012,0.7492749814080251
1121,2017,0.7581868715059669
1123,2007,0.5915868125000001
1123,2012,0.6730680631192999
1123,2017,0.6803877376544647
1125,2007,0.7650722329261546
1125,2012,0.7731475065410246
1125,2017,0.7483860845995419
1127,2007,0.5659075720683556
1127,2012,0.6222108198435592
1127,2017,0.7418404256790467
1129,2007,0.7430661336251034
1129,2012,0.6637099194178829
1129,2017,0.7973333878922424
1131,2007,0.390937442424265
1131,2012,0.3815643515840539
1131,2017,0.4769548121621491
1133,2007,0.7119332144539516
1133,2012,0.495352020001512
1133,2017,0.6617475861823543
4001,2007,0.7487270125825863
4001,2012,0.49382716049382713
4001,2017,0.6006944444444444
4003,2007,0.46760621364039623
4003,2012,0.40868606515584627
4003,2017,0.4830908659346197
4005,2007,0.7659279778393352
4005,2012,0.7619598765432098
4005,2017,0.3951020408163265
4007,2007,0.7460835555555556
4007,2012,0.4498416498769022
4007,2017,0.7248173779315648
4009,2007,0.7476800044843572
4009,2012,0.6159067305866983
4009,2017,0.696203804767749
4011,2007,0.7380733371724363
4011,2012,0.750184726056284
4011,2017,0.6893821299009597
4012,2007,0.674983007494752
4012,2012,0.6932540370511109
4012,2017,0.6665005328672433
4013,2007,0.6769046989490517
4013,2012,0.719576710920552
4013,2017,0.6628072441087474
4015,2007,0.5330308510796753
4015,2012,0.6736377188583409
4015,2017,0.5943725019391422
4017,2007,0.7327255912273748
4017,2012,0.5714285714285714
4017,2017,0.5107100691516275
4019,2007,0.7297899824890108
4019,2012,0.7706021839747765
4019,2017,0.7590023095456904
4021,2007,0.778752422120987
4021,2012,0.7718473417250639
4021,2017,0.7384469932353408
4023,2007,0.5587990598333341
4023,2012,0.6388636216221224
4023,2017,0.6056272826880935
4025,2007,0.5390652143210226
4025,2012,0.6671017318144964
4025,2017,0.5401029536482718
4027,2007,0.8449972199611885
4027,2012,0.8201444814315217
4027,2017,0.8362058052583246
5001,2007,0.668590944985972
5001,2012,0.6740791289025226
5001,2017,0.652807721205329
5003,2007,0.7862048343001451
5003,2012,0.7659278615914863
5003,2017,0.7293364808672895
5005,2007,0.08952414814814824
5005,2012,0
5005,2017,0.0267786705624542
5007,2007,0.6159408251255885
5007,2012,0.76947784423828125
5007,2017,0.6267575208455266
5009,2007,0.012774557091561056
5009,2012,0.11511478420569321
5009,2017,0.08390205315142785
5011,2007,0.6930284429944353
5011,2012,0.6822105121420218
5011,2017,0.7759903652239616
5013,2007,0.668185079668591
5013,2012,0.199441231251838
5013,2017,0.28059459747455917
5015,2007,0.013174513066933846
5015,2012,0.050280957336108045
5015,2017,0.22398458839375956
5017,2007,0.7416927650320719
5017,2012,0.7202931527350438
5017,2017,0.5398217691588935
5019,2007,0.5303470452630199
5019,2012,0.524969900927672
5019,2017,0.6471900491882645
5021,2007,0.6955730933810182
5021,2012,0.7076671262459484
5021,2017,0.6895843993193218
5023,2007,0.11689973309925894
5023,2012,0.6704545454545454
5023,2017,0.21422361328464623
5025,2007,0.7339434670356978
5025,2012,0.6877980751020127
5025,2017,0.6002764917695473
5027,2007,0.6960891651662248
5027,2012,0.7055443837977593
5027,2017,0.40972363261416367
5029,2007,0.6682401108031175
5029,2012,0.5245698412252485
5029,2017,0.6566575561361021
5031,2007,0.729149203858159
5031,2012,0.7437881038831479
5031,2017,0.7574458178337847
5033,2007,0.6750082607023667
5033,2012,0.40378349452300977
5033,2017,0.3910821156878267
5035,2007,0.5957781921043788
5035,2012,0.5773694646272485
5035,2017,0.493553911648133
5037,2007,0.6352234000359558
5037,2012,0.6030421857289899
5037,2017,0.5994041958909363
5039,2007,0.5689938666090284
5039,2012,0.5330003188436603
5039,2017,0.03508091404762004
5041,2007,0.7311564082735655
5041,2012,0.671052491898851
5041,2017,0.6035927828007129
5043,2007,0.7948439998591709
5043,2012,0.7569229594771766
5043,2017,0.6965666232911738
