"","State","Scenario","Estimate","SE","CI_95L","CI_95H","Tval","pval","psig","insect_current_kha","insect_2050_kha","PC_insect","cropland_current_kha","cropland_2050_kha","PC_cropland","insect_cropland_current","insect_cropland_2050","PC_insectcropland"
"49",38,"B1",-134.19,61.61,-255.84,-12.53,-2.178,"0.0308","*",1499.07072035613,1364.88072035613,-8.95154565944166,8593.165395,9891.10625,15.1043392665899,0.174449187400533,0.137990704564126,-20.8991990044063
"50",38,"A2",-127.1808,64.0591,-253.6735,-0.6881,-1.985,"0.0488","*",1499.07072035613,1371.88992035613,-8.48397599079155,8593.165395,10360.4,20.5655835046336,0.174449187400533,0.1324166943705,-24.0944045978998
"51",39,"B1",229.25,28.44,173.28,285.21,8.061,"0.0000000000000177","***",854.382537434237,1083.63253743424,26.8322431645726,3905.291745,3865.10625,-1.02900109963488,0.218775598142729,0.280362936318824,28.1509175149941
"52",39,"A2",231.55,29.07,174.35,288.76,7.965,"0.0000000000000336","***",854.382537434237,1085.93253743424,27.1014434231485,3905.291745,4096.03125,4.88412946982019,0.218775598142729,0.265118225705489,21.1827223676593
"53",40,"B1",-1.077,12.868,-26.416,24.263,-0.084,"0.933",NA,708.721266693646,707.644266693646,-0.151963832696098,3028.2336675,4108.10625,35.6601471705948,0.234037840045131,0.172255590198926,-26.3984019995619
"54",40,"A2",-1.217,12.93,-26.678,24.244,-0.094,"0.925",NA,708.721266693646,707.504266693646,-0.171717719954642,3028.2336675,4455.71875,47.1391985968665,0.234037840045131,0.15878566543134,-32.1538493943032
"55",102,"B1",-30.449,4.845,-40.001,-20.897,-6.285,"0.00000000193","***",643.08771752327,612.63871752327,-4.7348128677171,3037.8499425,2968.275,-2.29026923043945,0.21169173253964,0.206395538662445,-2.50184256780207
"56",102,"A2",-29.341,5.125,-39.445,-19.236,-5.725,"0.0000000362","***",643.08771752327,613.74671752327,-4.56251910905736,3037.8499425,3248.6125,6.9378857247489,0.21169173253964,0.188925800637432,-10.7542848410221
"57",42,"B1",31.359,3.772,23.924,38.795,8.313,"0.0000000000000106","***",371.156717927964,402.515717927964,8.44899162140082,1013.17293,487.7,-51.8640909602668,0.36633106445902,0.825334668706099,125.297483281936
"58",42,"A2",38.433,4.095,30.361,46.505,9.385,"<0.0000000000000002","***",371.156717927964,409.589717927964,10.3549250609171,1013.17293,747.03125,-26.2681396353533,0.36633106445902,0.54828993824283,49.670609849186
"59",45,"B1",85.39,19.38,47.08,123.69,4.405,"0.0000203","***",329.386280857952,414.776280857952,25.9239698076024,747.1855575,1136.0125,52.0388728873417,0.440835984517744,0.365115947982925,-17.1764645342313
"60",45,"A2",90.99,20.25,50.97,131.01,4.493,"0.0000142","***",329.386280857952,420.376280857952,27.6241013326355,747.1855575,1523.9625,103.960379681188,0.440835984517744,0.27584424213716,-37.4270132600627
"61",46,"B1",49.05,78.76,-106.22,204.32,0.623,"0.534",NA,1089.66106839336,1138.71106839336,4.50139969415638,5995.4612625,6415.74375,7.01001089155148,0.18174766222057,0.177486993365869,-2.34427711621993
"62",46,"A2",46.66,79.04,-109.16,202.48,0.59,"0.556",NA,1089.66106839336,1136.32106839336,4.28206543790698,5995.4612625,6705.11875,11.8365786455617,0.18174766222057,0.169470685122969,-6.75495736649534
"63",47,"B1",13.721,4.347,5.169,22.273,3.156,"0.00175","**",562.537029542695,576.258029542695,2.4391283203444,1080.5615325,911.5375,-15.6422403922657,0.52059694207437,0.632182471420754,21.4341499782461
"64",47,"A2",21.329,4.558,12.363,30.296,4.679,"0.0000042","***",562.537029542695,583.866029542695,3.79157262186615,1080.5615325,1382.00625,27.897043197769,0.52059694207437,0.422477126671963,-18.8475589217713
"65",48,"B1",238.05,38.13,163.18,312.91,6.243,"0.000000000749","***",2716.73998381222,2954.78998381222,8.76234020989967,6782.7215475,8133.51875,19.9152684219785,0.400538333290944,0.363285568599964,-9.30067401661647
"66",48,"A2",238.07,37.04,165.35,310.79,6.428,"0.000000000242","***",2716.73998381222,2954.80998381222,8.76307638635083,6782.7215475,9176.09375,35.286310749144,0.400538333290944,0.322011747516444,-19.6052610318971
"67",51,"B1",42.818,8.601,25.891,59.746,4.979,"0.0000011","***",270.570416835289,313.388416835289,15.825085573219,474.8972175,382.6,-19.4351986280063,0.569745214047899,0.819101978137191,43.7663639713045
"68",51,"A2",45.69,8.86,28.25,63.13,5.157,"0.000000467","***",270.570416835289,316.260416835289,16.8865467756639,474.8972175,632.225,33.1288069717949,0.569745214047899,0.500233962331906,-12.2004099380025
"69",54,"B1",9.13,1.299,6.554,11.706,7.028,"0.000000000219","***",12.7078106029947,21.8378106029947,71.8455781663004,26.7029775,78.6625,194.583253871221,0.475894892357781,0.277613991457108,-41.6648516478727
"70",54,"A2",9.339,1.274,6.812,11.866,7.328,"0.0000000000501","***",12.7078106029947,22.0468106029947,73.4902359797459,26.7029775,138.06875,417.053763012009,0.475894892357781,0.159679946425203,-66.4463836470103
"71",55,"B1",87.07,33.33,21.38,152.75,2.612,"0.00961","**",837.144577094294,924.214577094294,10.4008318732969,3938.414985,3047.2375,-22.6278207957814,0.212558752767973,0.303295879331458,42.6880217266485
"72",55,"A2",95.24,37.78,20.79,169.69,2.521,"0.0124","*",837.144577094294,932.384577094294,11.3767684347398,3938.414985,3297.35625,-16.2770743418751,0.212558752767973,0.282767316117054,33.030191622229
