FIPS,Scenario,annprcp,tmean_Jan,tmean_Apr,tmean_Jul,tmean_Oct,tminavg,tmaxavg,annualGDD,bio5,bio6
18017,RCP45,1003.0809197536264,32.1200537575354,55.68557025914692,79.20458486613396,56.517481478715666,28.16170509185139,86.56181816342497,3782.2870080783136,88.93099066323293,25.140956191565238
18017,RCP85,1004.6667274367696,31.3701154920236,55.362358213192344,80.20424430614968,57.112792186067345,28.304604318975784,87.33981818559316,3862.6197612248775,90.09478262135406,24.6352748109654
16077,Current,321.01573881292813,24.5546227014959,45.67120636199238,73.32729878044003,48.46203504804487,22.27592720308109,83.64976767220828,2260.541885908983,87.71272942665014,17.29492215690457
16077,RCP45,322.9202819827014,29.254701870866914,47.85025530787636,77.87928340614589,50.916001962485865,25.680141620922175,88.65716363196579,2919.3321887134903,92.65207326549515,22.474898994863956
16077,RCP85,339.22895615522435,27.699058946176258,49.173298498582,78.84086894129864,52.06242292788122,28.425577367538704,88.92311914014077,3082.593584603027,93.46585166436009,20.996838806062993
18015,Current,985.2252796234234,26.77361658387574,51.51905745199027,75.35348012162213,53.64096779060671,24.25321023360458,82.25590448543598,3088.047994020328,84.21115784401228,19.645643443970503
18015,RCP45,995.011667202106,32.42285436208489,56.26088260642194,79.63560694307928,56.966574209922975,28.470767376729597,87.03664970023725,3885.7785537988693,89.3543820438098,25.28311894070717
18015,RCP85,991.8562124223097,31.681764006466167,55.96423979881116,80.65307502898584,57.561387388196245,28.63341841404773,87.85569622366098,3970.724831084609,90.55128065301625,24.822525975934195
42101,Current,1087.946545390621,33.36965163316454,53.18918560410294,77.41396308745732,57.15495748935843,29.687147525902663,82.90957732358714,3518.554363322603,85.22779133708207,26.583368647871144
42101,RCP45,1160.9117521639891,37.624867797457924,57.880498596888096,81.20779130363418,59.61899133790153,33.399838343109295,86.77678877159288,4257.566910499567,89.52997103536124,31.069334524584804
42101,RCP85,1148.1211588638569,37.37003482561924,57.81402577490623,81.94554415695386,60.444025756336885,33.80006789206243,87.2789745484566,4362.466798620842,90.1760289296294,30.860665253583072
56043,Current,290.7953817374038,22.701991835226824,43.39439569367695,70.86066119779069,45.25814075489289,17.422355094161496,81.58234534866111,1941.335009183374,85.12784816711134,13.311451864854723
56043,RCP45,286.5074887526589,27.908846164803972,45.77437679662205,75.95106627115976,47.51338673137305,20.86393566123496,86.80607981028236,2565.5014473640945,90.88611331963558,18.490516217319584
56043,RCP85,307.67377381178875,25.648351986716275,46.04049702989542,75.87042306508103,48.6027783935775,23.155966041488064,86.61591168703055,2634.0918505665536,90.32367060093358,16.77148183202295
37029,Current,1238.5033016891252,43.00045705878051,58.07982203470906,78.72333267775268,63.15588325523786,39.72153318045113,80.93520434941082,4359.813364124495,82.62829322986673,37.158620944477114
37029,RCP45,1315.933323688856,46.6771909147308,62.51029008457832,81.87597668263842,66.14962885768989,43.02369679706255,83.85836583358633,5261.866767772147,85.96407532807505,40.53483896073205
37029,RCP85,1335.8963032237536,46.862985958660175,62.69804553116044,82.54487631887525,66.43041859285917,43.67950283930099,84.71060720686404,5387.336422449118,86.716263724373,40.963750204980954
36109,Current,912.5539547531259,24.396773695687354,46.01610650479812,70.40340365177687,49.95610325830846,20.150357733660737,76.37778583980004,2201.5793210474153,78.59605232734019,17.266354767520674
36109,RCP45,913.8716545524932,29.85986546674082,51.3784619837237,74.84496729488804,52.616471705825035,24.91703838120981,81.48284001974882,2892.429436013337,84.16595003120865,22.825900984544766
36109,RCP85,944.4042556344215,29.32451794901103,50.92941800141932,75.36234665612815,53.52874952635767,25.157786844693668,81.38246776323588,2933.770993918231,84.17910166140163,22.663319162766502
05069,Current,1288.4621269691252,42.11912089748041,63.78901033072064,82.71460733895796,63.70029270537742,39.042936105775226,90.02699894482112,5319.20396438925,91.01385917215859,34.07473236134261
05069,RCP45,1401.6050637041778,46.304082525241455,68.54362783378767,85.61241479515886,67.52336384040065,42.23339410896084,93.68776058838948,6187.761474678912,94.83598825114959,37.54693072117665
05069,RCP85,1399.7919690324252,46.40779343631845,68.56714395651895,85.8769126369606,68.00572736355893,43.02048157717284,93.94945598437599,6398.485802703373,94.99553736011936,38.78644517158364
05079,Current,1303.4396874632919,42.84548379254679,64.19004345037128,82.70173677549835,64.0052749378805,39.693468548994154,89.96322915661919,5394.177485922345,90.8656152799391,34.77849037843311
05079,RCP45,1422.9195555095453,46.98223728571029,68.92112897809896,85.54645642193549,67.84699322474484,42.86652407527485,93.49980638415572,6298.554659179108,94.53931240333598,38.16888452561009
05079,RCP85,1421.3318054095198,47.22452681536216,69.00695346734443,85.8007307844792,68.29010201781776,43.64702129157265,93.78277135672307,6507.144750883442,94.78566136509767,39.51775354058137
55123,Current,844.6133283295574,18.31002224249687,46.58246430674603,72.69715840006651,49.04213848831926,16.283563348484126,79.51291172843922,2435.037163114451,81.89336952819858,10.799374533121592
55123,RCP45,822.688142014966,24.649504257675506,51.62967054258299,77.48474678646885,52.360368183210646,21.62822615425459,84.48930875171254,3173.024551920634,87.21412911658585,17.682488695852523
55123,RCP85,839.7932069049258,23.98626384302236,50.69295422630599,78.66368288729076,53.03437796068178,22.282035022585294,85.20537342123264,3215.2177924940133,88.57299695347338,17.027158021137026
29093,Current,1122.418593205697,32.057090384297304,55.62426940238565,77.26559292847386,56.386275551927604,29.510301549755745,84.3063761827363,3609.121069856903,86.00498627372741,24.42483336390724
29093,RCP45,1208.0090557321823,36.832937504658666,60.416460657016025,80.71508335619777,59.86671056208144,33.049438695454604,88.61534361072856,4327.573231614124,90.46391319792568,28.727794553833856
29093,RCP85,1177.7072380309405,36.36895647295257,60.0764619889515,81.7106809738926,60.635968096655034,33.55549048192624,89.47906729724723,4512.329476927521,91.13349631869795,28.965758757363886
48223,Current,1125.7378430286217,44.7540040122474,64.34977309001908,82.86094606371685,65.58681837997051,40.948890651270446,90.26768026783557,5559.080986784945,91.8764421395612,36.33265791051628
