year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2001,17131,2.977952641,24.83202298,1.930444917,0.08147056,24.27904156,0.266001378,16.11935763,0.002444117,0.850959998,20.69311486,44.4458566,5.273793019,438630,3657570,284340,12000,3576120,39180,2374260,360,125340,3047940,6546540,776790,1.51987403,4.368247745,0.273557773,0.009959776,8.112940193,0.041733294,3.428423734,0.000183309,0.148296787,7.845614918,71.77289511,2.478273329,4.531700405,8.323544631,0.342336449,0.222272727,5.238820693,0.706551724,2.306902695,0.09,0.895204918,5.917050691,98.34053023,8.166241611,0.468189186,4108920,6546540,2366730,125700,6546540,31590,3576120,3657570,213330,2374260,3657570,113280,4603950,6546540,2667120
2001,17049,1.6458081,36.19064443,3.796459389,0.344123512,44.20490938,0.13272646,41.95507523,0.088806068,1.023682986,24.864251,46.39851578,0.377425787,204600,4499070,471960,42780,5495370,16500,5215680,11040,127260,3091020,5768070,46920,0.408676835,7.68884381,0.836611074,0.054659169,14.34140769,0.022515234,9.201780658,0.016071968,0.192212046,8.321369853,58.86162687,0.054224792,1.020180723,8.107251908,0.816357928,0.612162162,6.50442904,0.636136364,2.745205184,0.951428571,0.881734317,4.409539642,46.72689655,0.93625,0.611568605,4692690,5768070,2124750,137820,5768070,12750,5495370,4499070,435720,5215680,4499070,395340,4655370,5768070,2142330
2001,17035,2.539671092,32.98967971,1.344963865,0.396677525,38.11242936,0.092157405,31.5765995,0.016695182,2.105596359,17.98939255,49.2043744,2.026795099,228180,2964000,120840,35640,3424260,8280,2837040,1500,189180,1616280,4420830,182100,0.591410128,5.896270831,0.179907282,0.056396325,13.33517648,0.012621558,6.582743326,0.001702909,0.38425631,6.222528078,66.41603859,0.320948179,1.05219802,9.118037866,0.330552147,0.436810345,7.243748489,0.42,2.310292969,0.19125,1.0275,4.150489978,53.75886486,1.004738676,0.529362837,3176760,4420830,1664370,190680,4420830,33840,3424260,2964000,256590,2837040,2964000,158040,3159840,4420830,1730700
2001,17033,4.086839493,30.0651608,1.7713968,0.995598788,43.40233935,0.055599724,11.08616918,0.081580903,1.716836324,16.05662858,50.42219416,8.326448321,471900,3471570,204540,114960,5011590,6420,1280100,9420,198240,1854030,5822160,961440,0.88107375,5.958705514,0.360021201,0.168358041,19.32235888,0.006936975,1.738452665,0.010678265,0.302265039,5.56953343,62.89809662,2.783519618,1.297653061,5.667553542,0.70940273,0.750579151,10.00501345,0.4005,1.071735184,0.6165,0.861777778,3.957563077,53.83787991,4.726588235,0.559215404,4978770,5822160,2647470,207600,5822160,36810,5011590,3471570,487500,1280100,3471570,78900,4785390,5822160,2861550
2001,17057,9.130753716,26.37382537,3.603958265,0.234367516,52.04835372,0.1052423,20.60806954,0.016796776,1.667604924,26.04497599,50.76379402,6.375163867,2087430,6029460,823920,53580,11899050,24060,4711320,3840,381240,5954280,11605380,1457460,3.001570761,4.687796486,0.565946374,0.032478141,27.37163261,0.014132912,3.497758024,0.003424968,0.220103379,9.494758225,48.92542625,2.184971872,2.918779243,5.462293578,0.460769231,0.314618644,15.12221846,0.351195652,1.395534031,0.6525,0.268798077,5.79148079,41.06131057,3.277677165,0.671858268,11420850,11605380,5851050,385020,11605380,26010,11899050,6029460,1043250,4711320,6029460,285600,12250770,11605380,6451500
2001,17135,2.434018146,29.95856522,3.102263203,0.379335982,25.56894276,0.117848786,30.27440649,0.051905698,0.523953745,19.98597893,39.65709594,0.304578719,447360,5506230,570180,69720,4699440,21660,5564280,9540,96300,3673320,7288770,55980,1.096238551,6.232846024,0.527822189,0.076683324,7.489894303,0.016844868,7.534797629,0.00705134,0.08319602,6.866634185,70.01838735,0.049604219,2.741265306,9.157194245,0.537159468,0.9396,4.361863118,0.543157895,3.853247078,0.589090909,0.438137536,4.874669757,84.0014295,0.893823529,0.489705878,4837020,7288770,2182590,105540,7288770,11100,4699440,5506230,274290,5564280,5506230,357270,4834980,7288770,2197320
2001,17115,1.757957874,40.27008877,11.17222767,0.196163578,6.859792873,0.048249912,11.10618066,0,0.741150294,8.42198266,29.97268739,2.479729104,266700,6109380,1694940,29760,1040700,7320,1684920,0,112440,1277700,4547160,376200,1.033596177,10.84543338,2.74300752,0.030670334,1.585840154,0.007415458,2.846171369,0,0.146351476,2.994895792,76.90666252,0.859955816,4.454744318,7.850009542,1.262949924,0.415446429,2.324521739,0.45,3.545098522,0,0.863929961,5.076603352,133.4956407,4.868059701,0.39388025,1659120,4547160,416010,112440,4547160,9840,1040700,6109380,114870,1684920,6109380,415680,1675440,4547160,476640
2001,17055,5.381635431,35.58897041,3.891121617,0.460684745,50.25544378,0.27383359,6.113469123,0.074633076,3.40036887,45.1449573,42.0855381,10.9600552,601380,3976950,434820,51480,5615880,30600,683160,8340,379980,5044800,4702920,1224750,5.002698066,8.695021866,0.735887503,0.082391695,18.93736459,0.04429661,1.122315021,0.009181479,0.54871419,17.81513011,40.63722687,6.369771993,5.293892045,10.91730337,0.716315331,0.582721519,6.137436195,0.717391304,1.235615764,0.342,0.644763407,5.440781634,30.93376022,8.44366548,0.752929772,5684820,4702920,1540320,387960,4702920,37770,5615880,3976950,868380,683160,3976950,62730,5582610,4702920,1835820
2001,17023,2.733855967,32.34829623,2.059741923,1.172472009,42.1910955,0.07571737,9.890524155,0.028910269,3.22969002,16.95059533,50.15564509,2.323146594,357450,4229520,269310,153300,5516460,9900,1293180,3780,422280,2216280,6557820,303750,0.755108685,5.863208999,0.308926871,0.221851895,23.51106954,0.011977111,1.479310917,0.003579367,0.589631814,5.146303168,61.53055093,0.57848071,1.582211538,10.19429521,0.472974239,1.000241379,17.83096288,0.6525,0.949062807,0.39,1.005136897,3.195042735,46.34263825,2.327261538,0.559677359,5416860,6557820,2981580,426060,6557820,64080,5516460,4229520,668610,1293180,4229520,94440,5564670,6557820,3151440
2001,17161,7.922623329,44.88844879,18.9612167,0.562106622,26.5791731,0.27309655,38.91677177,0.006673412,1.353162607,25.56378781,38.69680585,9.249862297,926010,5246640,2216220,65700,3106620,31920,4548660,780,158160,2987940,4522950,1081140,5.584567786,10.7982222,5.425098908,0.174407055,7.302073018,0.048279569,10.44563505,0.000539006,0.222840625,8.985851853,46.53226415,4.480220777,12.79870588,4.811723218,1.883264033,0.952570093,3.434523139,0.705375,4.22897125,0.105,0.617203791,5.212317618,46.92641933,6.991401869,0.739419581,4007040,4522950,1630890,158940,4522950,25650,3106620,5246640,211140,4548660,5246640,694710,4988400,4522950,1935360
