term,estimate,std.error,statistic,df,p.value,model,ERS
cropintensity,0.0017007448320248116,0.0017037889772737876,0.9982133085202565,2.392904149471392,0.4081883176520559,ERS_twoways_var6,5
msidi,-0.04991266146586605,0.0632663608259918,-0.7889289160023943,5.81940970274454,0.46107526849469416,ERS_twoways_var6,5
mna_crops,0.33234444014186626,0.12650246605264662,2.627177560345379,15.072618793444379,0.018982145050892157,ERS_twoways_var6,5
largefarm_planted,0.013964083988629425,0.011678305907309037,1.195728567093777,75.87502614001119,0.23552610573392324,ERS_twoways_var6,5
natural_crops_ed,0.3121719962679062,0.14367111525946316,2.172823644503201,17.10417243448262,0.04413079834960382,ERS_twoways_var6,5
pland_crops,0.544940365841708,0.2642812497728721,2.06197135177028,6.10211176447513,0.08404070734299443,ERS_individual_var6,5
cropintensity,0.0018131215637808707,0.001478922947002977,1.225974326421227,2.382890171517663,0.32749448745897475,ERS_individual_var6,5
msidi,0.04689446259533211,0.05372461196943004,0.872867404273029,10.962229399808004,0.40145076043980943,ERS_individual_var6,5
mna_crops,0.39936288561658007,0.1217844065675525,3.279261252507379,17.033444335859297,0.004414542821238027,ERS_individual_var6,5
largefarm_planted,0.02096541959676342,0.011817753310650448,1.774061367304805,74.95624288531893,0.0801140667782484,ERS_individual_var6,5
natural_crops_ed,0.301217421250549,0.13662108773157244,2.2047652104949473,15.451580440766707,0.04300838808900613,ERS_individual_var6,5
pland_crops,0.1403630150728435,0.08699965637226997,1.6133743617587712,7.11127802781685,0.15002801178188438,ERS_time_var6,5
cropintensity,-3.46738438292169e-4,4.592672246628455e-4,-0.7549818921799059,3.3762362152707968,0.49946988291519007,ERS_time_var6,5
msidi,0.03145161550931686,0.004364165804485661,7.206787486623367,131.926815534122,3.9623796191820006e-11,ERS_time_var6,5
mna_crops,-0.03104983600862677,0.017639915577730706,-1.7602032091256294,18.938880269503496,0.09451495781969337,ERS_time_var6,5
largefarm_planted,0.06518206382029013,0.013179089607313139,4.945869992728503,112.05109656297452,2.6855581656128194e-6,ERS_time_var6,5
natural_crops_ed,-0.01572644176966121,0.034198701880109234,-0.45985493323090365,14.645524252531983,0.6523730226062043,ERS_time_var6,5
pland_crops,0.7500032042694836,0.40789543111106963,1.8387144034110505,4.784660317595265,0.12797557004792845,ERS_twoways_var6_3yrs,5
cropintensity,0.0029418260475717597,0.002797055524674166,1.0517581870007597,2.3681871361614237,0.38824173135771617,ERS_twoways_var6_3yrs,5
msidi,-0.0016962559900154982,0.03148164689319727,-0.05388078952064083,2.6850205522612374,0.960783554718782,ERS_twoways_var6_3yrs,5
mna_crops,0.2512753684235946,0.16254490774442887,1.5458827465618155,51.44057463744246,0.12826343172866805,ERS_twoways_var6_3yrs,5
largefarm_planted,0.01588181607377316,0.014552780598368965,1.091325191527532,56.33243102613091,0.2797756282209382,ERS_twoways_var6_3yrs,5
natural_crops_ed,0.22429115215062756,0.1880255099601315,1.19287618046182,11.571669441933244,0.2568034862476195,ERS_twoways_var6_3yrs,5
pland_crops,0.7261517934069954,0.3950643971379477,1.838059310501319,4.784746990335746,0.12808026977673276,ERS_individual_var6_3yrs,5
cropintensity,0.00313448215984313,0.0026320050609418776,1.1909103847700955,2.3448291786514526,0.3402339547726537,ERS_individual_var6_3yrs,5
msidi,0.04968540118335447,0.05307949057665657,0.9360564813936861,2.8690850985057694,0.4211412260487604,ERS_individual_var6_3yrs,5
mna_crops,0.2512751197008856,0.14260727678842788,1.7620076994645744,59.644425673794316,0.08319213150220814,ERS_individual_var6_3yrs,5
largefarm_planted,0.023220249006831204,0.014456322256038732,1.6062348774171509,55.79650973758137,0.11386758935323876,ERS_individual_var6_3yrs,5
natural_crops_ed,0.1726634529992542,0.17876524743112626,0.9658669986501547,10.854109182529307,0.3551383138029821,ERS_individual_var6_3yrs,5
pland_crops,0.16000938372536355,0.09318226394350712,1.7171656595762814,6.886646694945422,0.13035561266209,ERS_time_var6_3yrs,5
cropintensity,2.7274636849178996e-4,6.347835137461606e-4,0.4296683240593055,3.3881160651977957,0.693320929922383,ERS_time_var6_3yrs,5
msidi,0.03517445259930796,0.004726827055028191,7.441451144672392,129.6196415021948,1.2214800354603153e-11,ERS_time_var6_3yrs,5
mna_crops,-0.019289130988074187,0.019153977816817006,-1.0070561411603243,19.284081217911684,0.32637778890863545,ERS_time_var6_3yrs,5
largefarm_planted,0.065369950762316,0.013906669243851444,4.700618790600633,102.5757165386501,8.096726841465755e-6,ERS_time_var6_3yrs,5
natural_crops_ed,-0.01636434201738009,0.036508057829304816,-0.4482391830837006,15.067650438118799,0.660358750325726,ERS_time_var6_3yrs,5
pland_crops,0.6694049807340763,0.39413390571485435,1.6984201841756121,4.770128965660573,0.15299955453772196,ERS_twoways_var7crops,5
cropintensity,0.0029193968777015524,0.002466985847409352,1.1833861474184335,2.377869027227553,0.34141012232145673,ERS_twoways_var7crops,5
msidi,0.015807347224941547,0.03468394538429599,0.455754010963779,2.669332639812168,0.6830486289892945,ERS_twoways_var7crops,5
mna_crops,0.23202916444160018,0.1629152528037959,1.4242322953090243,50.2629250404458,0.1605584006888813,ERS_twoways_var7crops,5
largefarm_planted,0.0018431424814855124,0.018431228770970615,0.10000106365064937,45.63835423467725,0.9207814800681611,ERS_twoways_var7crops,5
natural_crops_ed,0.13454436712077483,0.18895978428024515,0.7120264644313569,13.196575026933342,0.4888459231761765,ERS_twoways_var7crops,5
SDI,-0.00578218507581327,0.003260713306421215,-1.7732883981019136,116.13420344274927,0.0788022695050963,ERS_twoways_var7crops,5
soysmallgrain_planted,0.047996322343018996,0.017699309499435125,2.711762419011363,46.03327123731744,0.009377820287562719,ERS_twoways_var7crops,5
corn_planted,0.019051977485469457,0.027843594927263026,0.6842499158330569,47.813861490685966,0.4971206251164514,ERS_twoways_var7crops,5
fruitveg_planted,0.1212131611022327,0.04746847015347276,2.553551035252077,8.076825884802467,0.03372909168672217,ERS_twoways_var7crops,5
pland_crops,0.6492513008006571,0.3815540436832937,1.701597222068923,4.787825969373885,0.15215989940803878,ERS_individual_var7crops,5
cropintensity,0.003015881545361421,0.002419946036017281,1.2462598340932114,2.3567858313355217,0.32222195542892235,ERS_individual_var7crops,5
msidi,0.05421076596074647,0.05488872068587726,0.987648560275058,2.8010728648577374,0.4007871885390713,ERS_individual_var7crops,5
