term,estimate,std.error,statistic,df,p.value,model,ERS
mna_crops,-1.2590364428199236e-4,1.2643042382795623e-4,-0.9958334431696543,23.682975901982527,0.3293976357598759,ERS_time_var6,1
largefarm_planted,0.24620424188157142,0.03368696309673261,7.3085911951929985,160.44592633060455,1.2022906174986107e-11,ERS_time_var6,1
natural_crops_ed,-2.8839324132658406e-4,7.519952083736236e-4,-0.3835040943283483,155.79307357811885,0.7018688664017754,ERS_time_var6,1
pland_crops,-7.550964626574723e-5,0.0023073033594698373,-0.03272636255472602,4.296427258798095,0.9753573832870059,ERS_twoways_var6_3yrs,1
cropintensity,-1.961520646440362e-5,5.258036538178533e-4,-0.037305192388789744,2.3399526675658904,0.9731859045098381,ERS_twoways_var6_3yrs,1
msidi,0.04425124676364086,0.25534049462225766,0.17330289435330146,2.010029414611196,0.8782956895834793,ERS_twoways_var6_3yrs,1
mna_crops,5.801240218888147e-4,8.384835674297208e-4,0.6918728576483867,41.61232941619096,0.4928597742127916,ERS_twoways_var6_3yrs,1
largefarm_planted,0.20528069080460268,0.07829969061692332,2.6217305481949666,49.67713554976955,0.01158075161937339,ERS_twoways_var6_3yrs,1
natural_crops_ed,0.02844147237949924,0.007194010960528567,3.953493056314381,53.9242271267924,2.260320716772573e-4,ERS_twoways_var6_3yrs,1
pland_crops,0.0012219097809019219,0.0026214601835127917,0.466118001176179,4.37392890858461,0.6634077582849898,ERS_individual_var6_3yrs,1
cropintensity,-6.315991088948745e-4,5.817942146096009e-4,-1.085605688462705,2.305523839508433,0.3780055128506845,ERS_individual_var6_3yrs,1
msidi,0.003386868912139823,0.19346068073681072,0.017506755890864527,2.012950788308289,0.9876127375262,ERS_individual_var6_3yrs,1
mna_crops,5.276524819818764e-4,8.831206908004683e-4,0.5974862637445484,41.6698955400894,0.5534160138334017,ERS_individual_var6_3yrs,1
largefarm_planted,0.3382124147699642,0.07713811407422921,4.38450458413471,52.71742709700828,5.5821003851395e-5,ERS_individual_var6_3yrs,1
natural_crops_ed,0.04036662730063691,0.0075818277474714235,5.32412877806402,52.79446745512505,2.119225737947424e-6,ERS_individual_var6_3yrs,1
pland_crops,0.0015984428540644954,4.970087456623011e-4,3.216126211087999,106.95930280817208,0.0017190154151783858,ERS_time_var6_3yrs,1
cropintensity,-2.3392480490408e-4,1.642273426543177e-4,-1.4243962127333971,3.2250007131044387,0.24348636945399293,ERS_time_var6_3yrs,1
msidi,0.05092172629843227,0.060448860813879644,0.8423934812472124,87.55279640784318,0.40186303975587134,ERS_time_var6_3yrs,1
mna_crops,-8.10409196243006e-5,1.3608821711940888e-4,-0.5955028388180902,25.095463201955813,0.5568402058436899,ERS_time_var6_3yrs,1
largefarm_planted,0.2797953111257407,0.0361024380477049,7.750039228819555,150.8135809277497,1.257504065737059e-12,ERS_time_var6_3yrs,1
natural_crops_ed,-1.4660579903271972e-4,8.768488650179416e-4,-0.16719620094361412,155.05627472054823,0.8674335251851153,ERS_time_var6_3yrs,1
pland_crops,-5.999185655976023e-4,0.0020741315800044237,-0.28923843182423503,4.577448586565118,0.7850354033720683,ERS_twoways_var7crops,1
cropintensity,-8.083040099993039e-4,8.153279550119465e-4,-0.9913851291747507,2.418232497077407,0.4100987232651181,ERS_twoways_var7crops,1
