year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2016,12017,12.75098335,48.98974511,7.793407735,1.069560051,1.369755898,43.56884327,2.156496708,6.30531116,5.759146461,14.5010772,0.099166492,28.88006876,2553630,9811140,1560780,214200,274320,8725500,431880,1262760,1153380,2904120,19860,5783790,21.00404725,18.82996422,1.270259849,0.271344689,0.194048752,22.20505533,0.28464678,1.01594723,1.003274292,7.180118407,0.052084878,26.68920832,23.85969938,28.78674046,0.459194946,1.12977131,0.727752809,6.41516157,0.689310762,0.610450045,0.863079897,4.944831499,4.011923077,18.23619243,0.794348274,8451120,19860,1470,2247540,19860,360,274320,9811140,18690,431880,9811140,81240,11637030,19860,2250
2016,12093,6.606536175,18.34874776,1.98668797,0.316872705,1.479172178,6.627834176,7.790653112,15.7955849,4.334403038,42.66483192,2.321741896,49.46837461,1526160,4238700,458940,73200,341700,1531080,1799700,3648900,1001280,9855900,536340,11427570,12.54484755,4.107449457,0.360494649,0.059608431,0.215681225,1.308541421,1.401499405,5.425029541,0.784182026,43.80830084,1.999220026,27.98514542,9.51396914,11.86065,0.643562597,0.866037736,0.572032147,1.100411358,1.268640282,3.461941989,0.761142857,29.04721584,12.97289326,9.440392815,0.708552079,2408160,536340,8970,4405860,536340,11130,341700,4238700,4500,1799700,4238700,39210,10710330,536340,144060
2016,12109,7.746275328,35.2377206,12.65324135,2.418587339,11.45790595,60.2272519,14.87246513,15.14401691,7.162424904,5.249014109,2.906421791,44.17778041,1648230,7497780,2692320,514620,2437980,12814980,3164520,3222300,1524000,1116870,618420,9400020,26.31002584,10.19943406,2.292624535,0.726422157,1.459696556,19.85343818,2.161839784,3.7387858,1.434233289,1.949800989,3.652456021,26.22124279,34.87957009,11.30904638,0.86970583,1.515352941,0.330204125,4.876321136,0.506039604,1.417548111,0.892315789,2.295921417,25.48062295,12.29187046,0.807627572,11518380,618420,123030,4381560,618420,68730,2437980,7497780,85350,3164520,7497780,304320,6950700,618420,263520
2016,12027,3.313436764,20.65741688,1.819291009,0.320433005,0.900402245,6.226694752,4.687963862,10.94003227,3.76073804,44.07893091,15.47521048,43.48536864,548460,3419340,301140,53040,149040,1030680,775980,1810860,622500,7296210,2561550,7197960,0.836895613,4.936498805,0.342653077,0.119999261,0.122500378,1.114791499,0.698899182,3.482425301,0.605542259,41.62636787,19.13898492,26.97444184,1.13547541,10.26531407,0.667270588,1.65525,0.475985915,1.119023651,0.749261658,3.011661442,0.70093007,23.86645999,35.71589628,11.7344862,0.713388282,1369860,2561550,38340,2295900,2561550,96510,149040,3419340,1350,775980,3419340,18300,6642720,2561550,706590
2016,12043,7.145029509,12.82785809,0.905937766,0.259174733,2.803031077,17.73515793,8.627654531,23.89454875,10.06321023,31.57365663,6.137792923,44.20889437,1826130,3278550,231540,66240,716400,4532760,2205060,6106980,2571960,8069610,1568700,11298930,9.498648312,2.454201606,0.120361309,0.057257896,0.42471555,4.253282733,1.079976886,8.116253953,3.023118316,25.38134076,9.129394746,36.46144793,8.818267345,8.499268293,0.344479283,1.189756098,0.619218483,1.996429752,0.444049228,4.124788228,2.357077486,19.57445685,32.54246862,16.41217682,0.775228935,4394280,1568700,43950,7215840,1568700,154740,716400,3278550,10830,2205060,3278550,36930,10190070,1568700,649680
2016,12081,8.233688319,40.21104503,19.97623051,2.861939756,2.457910361,10.18584833,6.046168857,9.940628179,4.694992838,34.48288389,5.805100579,45.11985946,1903800,9297630,4618920,661740,568320,2355180,1398000,2298480,1085580,7973160,1342260,10432650,17.86160242,13.0333733,4.713364888,0.800702186,0.508033879,2.059187582,0.942501713,3.075060721,0.827365012,27.89281933,4.313150028,23.97283895,16.07619307,10.20517101,1.43682004,2.075549327,1.131676301,1.47362117,0.935706312,2.592118119,0.786611842,14.54205186,9.913419483,7.981308855,0.810140057,2946900,1342260,79140,3237060,1342260,105870,568320,9297630,7680,1398000,9297630,35130,10304550,1342260,563460
2016,12013,3.19872277,35.49210817,0.67282088,0.415470927,2.773167597,69.61033869,0.455001171,29.86913271,17.83116512,2.564625393,11.00997957,44.25188913,475800,5279340,100080,61800,412500,10354320,67680,4442940,2652330,381480,1637700,6582330,0.896025577,5.773613925,0.08797496,0.079746216,0.641963088,35.47750618,0.053789367,9.623940322,7.623387302,0.667556904,7.199909484,31.87458667,3.323715711,23.08620968,0.299450801,0.9885,1.318922652,8.881130932,0.439615385,2.62907438,3.723990148,1.891371429,10.1129745,15.64767327,0.74877701,10379400,1637700,488040,5911470,1637700,405330,412500,5279340,30300,67680,5279340,3090,6449160,1637700,1071630
2016,12069,9.872987926,44.82821488,10.85854467,1.842762851,0.43991633,35.96441143,2.808696567,11.06759003,6.918920737,39.99053689,4.291637094,43.87429526,2958420,13432680,3253740,552180,131820,10776660,841620,3316380,2073240,11983080,1285980,13146840,12.29315848,12.33664953,2.163198947,0.477019878,0.080254194,14.98047258,0.484618797,3.042420889,1.404928965,21.25937213,1.8536256,29.62428002,10.38809645,14.28933514,0.944757324,1.158330632,0.7515,5.250136842,0.980519919,1.416273109,0.780756677,8.119202141,3.84384083,12.24055847,0.812289755,10891800,1285980,132660,5022960,1285980,70230,131820,13432680,10410,841620,13432680,145980,15462000,1285980,345750
2016,12103,12.90973244,62.52684409,52.1992867,2.205238823,0.012951826,5.560523597,1.001861825,1.552504893,0.837297449,0.695970173,0.03961735,16.17816379,2033370,9848400,8221740,347340,2040,875820,157800,244530,131880,109620,6240,2548170,52.52289188,23.09621016,14.94718798,0.538605488,0.001314229,1.513535134,0.135937031,0.289930432,0.11473794,0.197077268,0.004342671,6.63822979,58.79680171,6.36759846,2.105610411,1.068438287,0.207,2.04277635,0.511002387,0.747397709,0.368816327,1.272172131,0.220645161,3.67251844,0.643769093,922440,6240,960,351510,6240,630,2040,9848400,300,157800,9848400,51870,2773800,6240,1890
2016,12037,6.562360114,20.35004761,2.080549574,4.575467644,0.029693432,13.14012509,0.044428519,2.754344897,1.208723618,0.018753747,0.001562812,29.37953006,1763610,5469000,559140,1229640,7980,3531360,11940,740220,324840,5040,420,7895640,47.22732555,3.516427947,0.332108758,1.228403889,0.003114461,4.512184912,0.004788903,0.516665718,0.357124917,0.003851216,0.000133955,42.29786978,167.4428628,12.45094862,0.644425993,1.985141311,0.246176471,3.623044517,0.273829787,0.892365039,1.261182654,1.478571429,0.12,60.88589181,0.594573105,3533460,420,60,1005300,420,120,7980,5469000,840,11940,5469000,1830,6717840,420,270
