term,estimate,std.error,statistic,p.value,model,ERS
largefarm_planted,0.05497655603256831,0.007792760250677977,7.054824511993078,5.5537272859895234e-12,ERS_individual_var6,3
natural_crops_ed,-0.09808236900266282,0.04265933818544088,-2.2992004371070425,0.02188981818424901,ERS_individual_var6,3
pland_crops,0.0516089551495211,0.006242400802799417,8.267485023771137,7.021567795521894e-16,ERS_time_var6,3
cropintensity,-15.24494964138132,4.336762204498068,-3.5152837353104895,4.680061317041825e-4,ERS_time_var6,3
msidi,-0.020885388169525395,0.003441820789803014,-6.068121917155579,2.1340017377139616e-9,ERS_time_var6,3
mna_crops,-0.020115365011400446,0.004717883661183536,-4.263641593560252,2.291404033366271e-5,ERS_time_var6,3
largefarm_planted,0.025603772346651663,0.005505124718816772,4.6508977824129545,3.96161318638075e-6,ERS_time_var6,3
natural_crops_ed,-0.009943640481731937,0.005433663086055676,-1.8300068157059914,0.0676801823905918,ERS_time_var6,3
pland_crops,-0.33502759675078186,0.1202096861594068,-2.7870266320012753,0.0056164418464696685,ERS_twoways_var6_3yrs,3
cropintensity,-11.15267782654113,6.638501829110519,-1.6799992097065457,0.09387062800216209,ERS_twoways_var6_3yrs,3
msidi,-0.1232486620321771,0.05779350646103023,-2.132569376375923,0.03367190846051653,ERS_twoways_var6_3yrs,3
mna_crops,-0.05003687710840928,0.025673649778048698,-1.9489584667931186,0.05211769547443445,ERS_twoways_var6_3yrs,3
largefarm_planted,0.03737605293332581,0.009351094296668536,3.996971022593749,7.862193730744243e-5,ERS_twoways_var6_3yrs,3
natural_crops_ed,-0.03452151110216497,0.04877509934852932,-0.7077691601504831,0.4795706661943063,ERS_twoways_var6_3yrs,3
pland_crops,0.19032280266799873,0.11440847012713824,1.6635376948620977,0.09711553970368025,ERS_individual_var6_3yrs,3
cropintensity,-12.221678082300315,7.345887320884276,-1.6637442896182495,0.09707419596509549,ERS_individual_var6_3yrs,3
msidi,-0.034978038244854445,0.06296287115133192,-0.555534358666465,0.5788903124474079,ERS_individual_var6_3yrs,3
mna_crops,-0.006948584563089076,0.02713817990477277,-0.25604460532988926,0.7980694375648797,ERS_individual_var6_3yrs,3
largefarm_planted,0.04461222870434977,0.010246089676905356,4.3540736135567455,1.7650938879080423e-5,ERS_individual_var6_3yrs,3
natural_crops_ed,-0.05602222084076038,0.04939919401551997,-1.1340715563731592,0.2575542060361221,ERS_individual_var6_3yrs,3
pland_crops,0.06678821156213378,0.007434438808819856,8.983625163865698,4.922171657473738e-18,ERS_time_var6_3yrs,3
cropintensity,-16.363482790913324,5.327385594783391,-3.071578450588699,0.002241641285458716,ERS_time_var6_3yrs,3
msidi,-0.023221355919272935,0.004174199313827728,-5.563068309255943,4.2624534547251725e-8,ERS_time_var6_3yrs,3
mna_crops,-0.026474837948946565,0.005455698569124894,-4.852694409983355,1.6158996265476716e-6,ERS_time_var6_3yrs,3
largefarm_planted,0.024564529435724666,0.006783199922248016,3.6213777741027795,3.2198271041555837e-4,ERS_time_var6_3yrs,3
natural_crops_ed,-0.009125409827196052,0.006614035258280319,-1.3797038374979427,0.16827541556489778,ERS_time_var6_3yrs,3
pland_crops,-0.44337310552659315,0.11885834754408355,-3.7302647621123106,2.2457904329968527e-4,ERS_twoways_var7crops,3
cropintensity,12.171772941446815,12.462969402961184,0.9766350656814433,0.32945456770827264,ERS_twoways_var7crops,3
msidi,-0.10323438742443572,0.05792168732937089,-1.782309738965213,0.07560432450005332,ERS_twoways_var7crops,3
mna_crops,-0.03393451709251166,0.02653348485173308,-1.2789317830708986,0.20180629364613256,ERS_twoways_var7crops,3
largefarm_planted,0.0011537088460700081,0.015041944393427743,0.07669944894717844,0.9389084290778278,ERS_twoways_var7crops,3
natural_crops_ed,-0.03537385446395218,0.048108199080992,-0.7352978315484007,0.4626725833277737,ERS_twoways_var7crops,3
SDI,0.011103821726360688,0.014517421350476404,0.7648618482783311,0.44489227447139945,ERS_twoways_var7crops,3
soysmallgrain_planted,0.03467497956731631,0.014110325147277173,2.457418890450404,0.01450013326603021,ERS_twoways_var7crops,3
corn_planted,0.0932901074606792,0.01937221920548772,4.815664455946905,2.2254165079575747e-6,ERS_twoways_var7crops,3
fruitveg_planted,-0.20916584508853406,0.20728765925354203,-1.0090607701478973,0.31367375843240497,ERS_twoways_var7crops,3
pland_crops,0.035127821639152,0.1153403559335346,0.30455794379024254,0.7608908421213575,ERS_individual_var7crops,3
cropintensity,-7.999871736349387,13.53869484272547,-0.5908894342683136,0.5549905844697163,ERS_individual_var7crops,3
msidi,-0.05939158989667716,0.06345138189604956,-0.936017280033027,0.34993454591371653,ERS_individual_var7crops,3
mna_crops,0.0013260737665561147,0.028952625568220033,0.04580150299086121,0.9634955891531537,ERS_individual_var7crops,3
largefarm_planted,0.022928914717615795,0.01635292231195417,1.402129495891661,0.16179700983508646,ERS_individual_var7crops,3
natural_crops_ed,-0.018729031256281645,0.04873428288311704,-0.3843091587333056,0.7009917042797085,ERS_individual_var7crops,3
SDI,0.010110295089168964,0.01602173869624728,0.6310360742268919,0.5284446763263134,ERS_individual_var7crops,3
soysmallgrain_planted,0.009349812312037084,0.015059723673400971,0.6208488624894932,0.5351187351941684,ERS_individual_var7crops,3
corn_planted,0.10444251460512569,0.02016256645910857,5.180020847888792,3.826588049840833e-7,ERS_individual_var7crops,3
fruitveg_planted,-0.3306360979730279,0.22929372753880348,-1.441976200230223,0.15023774348590974,ERS_individual_var7crops,3
pland_crops,0.04392678191765469,0.009348321906308842,4.69889487738009,3.3708143090877925e-6,ERS_time_var7crops,3
cropintensity,-5.726958664545473,5.565128845612587,-1.0290792582566113,0.30393118696653265,ERS_time_var7crops,3
msidi,-0.022149898740617645,0.004340281778228574,-5.103331966077516,4.72055088323258e-7,ERS_time_var7crops,3
mna_crops,-0.016414004409345664,0.005489874186747817,-2.9898689571006845,0.0029260162925796077,ERS_time_var7crops,3
largefarm_planted,0.0025501012542833643,0.009031181492186036,0.28236629465256174,0.777777436176269,ERS_time_var7crops,3
natural_crops_ed,-0.001874385560907715,0.0066583093252705955,-0.28151073633568974,0.7784331025484282,ERS_time_var7crops,3
SDI,0.02097598508247272,0.008347758871617449,2.512768445407725,0.012286780629122907,ERS_time_var7crops,3
soysmallgrain_planted,0.010027320045613767,0.009229406249161893,1.086453426678919,0.2777926749036459,ERS_time_var7crops,3
corn_planted,0.04211243585686142,0.007003928585062705,6.012687785919849,3.4848123316121605e-9,ERS_time_var7crops,3
fruitveg_planted,0.38789209603050184,0.08181397123118815,4.741147388315924,2.7626006875949183e-6,ERS_time_var7crops,3
pland_crops,-0.26442886459333836,0.08500223221138581,-3.110846123849426,0.001969963638519325,ERS_twoways_var6crops,3
cropintensity,10.241715862846924,11.725762972488376,0.8734370536805661,0.3828359709469087,ERS_twoways_var6crops,3
msidi,-0.14401540881894112,0.04235066072467186,-3.400546918387115,7.25253871024629e-4,ERS_twoways_var6crops,3
mna_crops,-0.030323874633942927,0.020174197143143842,-1.5031019286062857,0.13343170691306763,ERS_twoways_var6crops,3
largefarm_planted,0.0026178131756763373,0.011355878155254948,0.23052494398814422,0.8177763237599068,ERS_twoways_var6crops,3
natural_crops_ed,-0.043617936269040807,0.03974576250856109,-1.0974235620626391,0.2729741463469714,ERS_twoways_var6crops,3
soysmallgrain_planted,0.03121207652269894,0.010868994603651917,2.871661792178264,0.004253081635159299,ERS_twoways_var6crops,3
corn_planted,0.10827116053192741,0.013873786382159633,7.80400948591466,3.421031097080589e-14,ERS_twoways_var6crops,3
fruitveg_planted,0.17048366779789514,0.10029901834779466,1.6997541013485271,0.08978692896642167,ERS_twoways_var6crops,3
pland_crops,0.06041599577527547,0.08469303082634656,0.7133526240093072,0.4759519630685767,ERS_individual_var6crops,3
cropintensity,-8.219230424725295,12.545491687836265,-0.655154108682278,0.5126622002809065,ERS_individual_var6crops,3
msidi,-0.09003420130355398,0.04548374073316166,-1.9794810156832836,0.048295989022090514,ERS_individual_var6crops,3
mna_crops,0.02259851668603459,0.02108073994650544,1.0719982668246306,0.2842248536870249,ERS_individual_var6crops,3
largefarm_planted,0.022309363952455474,0.012096877210325563,1.8442250478836648,0.06572675153910727,ERS_individual_var6crops,3
